Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Mens Adrenaline GTS 22 Black/Blue/Orange 8.5 D - Medium,712,481,,,$106.34 ,$161.00 ,$116.60 ,A2HGWKGRZLYH2G,4,B08QVF3JHJ,1.90341E+11,no,B08QTW6QFH,Brooks,1.90341E+11,8520173067610350059,V
Brooks Men's Ghost 15 Neutral Running Shoe - Titan/White/Peacoat - 11 Medium,110,191,,,$176.88 ,$176.88 ,$140.40 ,A3KPHGJZVOLD1G,1,B0BHXRS7JX,1.95394E+11,yes,B09RRZXQHS,Brooks,1.95394E+11,8514040123239870151,V
Brooks Men's Levitate 5 Neutral Running Shoe - Blue/India Ink/White - 10 Medium,223692,169648,$99.95 ,2,$99.95 ,$149.95 ,$88.06 ,A1BNXE6U3W2NOH,2,B08LP6QKYJ,1.90341E+11,no,B09MVB1489,Brooks,1.90341E+11,8464348206187709122,V
Brooks Men’s Launch GTS 9 Supportive Running Shoe - Black/White - 11 Wide,56571,44128,,,$134.99 ,$162.98 ,$141.04 ,AZ3XNKNN838E9,1,B09MGCXQ8Q,1.95394E+11,no,B09MGCYBD7,Brooks,1.95394E+11,8461610796623108046,V
Brooks Women's Ghost 14 GTX Waterproof Neutral Running Shoe - Black/Blackened Pearl/Aquaglass - 8 Medium,224563,199257,,,$130.86 ,$369.00 ,$149.98 ,A114I0OUP3FTFB,2,B097F2HSZC,1.90341E+11,yes,B0C6S9QMHH,Brooks,1.90341E+11,8455854713481471751,V
Brooks Women’s Launch 9 Neutral Running Shoe - Black/Ebony/Purple - 7.5,10424,6963,,,$75.95 ,$141.09 ,$138.09 ,A1B43WMIJ58I3U,2,B09MGDDTLF,1.95394E+11,yes,B09MGCQM9B,Brooks,1.95394E+11,8433377404009894270,V
Brooks Men’s Glycerin StealthFit 20 Neutral Running Shoe - White/Grey/Black - 10 Medium,24368,28125,$114.95 ,23,$109.95 ,$159.95 ,$101.71 ,A3KCLKFFWT76LN,2,B09MGBY41W,1.95394E+11,no,B09MGCN9VC,Brooks,1.95394E+11,8432308742137195078,V
Brooks Levitate GTS 5 Men's Supportive Running Shoe - Blue/India Ink/White - 14,347378,326975,,,$189.98 ,$192.91 ,$159.57 ,A1PF2RJVZ25QD4,1,B08LR2VFHH,1.90341E+11,no,B0B41GFJM9,Brooks,1.90341E+11,8431817865807881351,V
Brooks Women's Revel 5 Neutral Running Shoe - Heather/Grapemist/Black - 9.5,42181,32104,,,$110.02 ,$110.02 ,$121.22 ,A2I4KIISCXKZBK,1,B09FTP23Z4,1.95394E+11,no,B08R146ZLD,Brooks,1.95394E+11,8412210234557790344,V
Brooks Cascadia 14 Grey/Dove/Biscuit Men's Size 12.5 D (M),1511555,1597805,,,$139.99 ,$199.99 ,$149.88 ,A38E5BJHKJK0JT,1,B07VLBHCZV,1.90341E+11,no,B0853R3KP2,Brooks,1.90341E+11,8411183231796990964,V
Brooks Women's Cascadia 16 Trail Running Shoe - Basil/Duffel Bag/Coral - 5 Medium,20621,18782,$101.64 ,1,$89.99 ,$129.95 ,$121.05 ,-,1,B08QV6VZB3,1.90341E+11,no,B0C6P37QZL,Brooks,1.90341E+11,8399887414285666747,V
Brooks Men’s Revel 6 Neutral Running Shoe - Black/Blackened Pearl/White - 11 Medium,6844,7102,$110.01 ,1,$110.01 ,$175.00 ,$110.01 ,-,1,B0BHL48468,1.95394E+11,no,B09RRKWYM1,Brooks,1.95394E+11,8377048401570734072,V
Brooks Men's Ghost 15 Neutral Running Shoe - Illusion/White - 8.5 Medium,110,190,,,$192.50 ,$192.50 ,$192.50 ,A1MLP04OASBI2Z,1,B0BHXWG2MG,1.95394E+11,yes,B09RRZXQHS,Brooks,1.95394E+11,8348631994897035457,V
Brooks Men’s Adrenaline GTS 23 Supportive Running Shoe - White/Blackened Pearl/Red - 10 Medium,581,749,$146.52 ,,$140.52 ,$250.72 ,$144.25 ,-,6,B0BYTH7Y9N,1.95394E+11,no,B0BJ7TY28X,Brooks,1.95394E+11,8344406859665520502,V
Brooks Beast '20 Black/Ebony/Grey 11,6516,6230,,,$183.71 ,$340.40 ,$160.90 ,A1MLP04OASBI2Z,1,B07VGWVHCY,1.90341E+11,yes,B0816STSBB,Brooks,1.90341E+11,8330427858636340622,V
